id,product,price
1,Higashimaru Usukuchi Soy,$6.14
2,Table Cloth 53x53 White,$3.53
3,Wine - Rosso Toscano Igt,$3.39
4,Wine - Tio Pepe Sherry Fino,$7.44
5,Tequila - Sauza Silver,$3.29
6,Muffin - Bran Ind Wrpd,$6.57
7,Tomatoes - Grape,$1.16
8,Muffin Hinge Container 6,$3.83
9,"Beans - Kidney, Canned",$1.55
10,Wine - Vouvray Cuvee Domaine,$2.91
11,"Wine - White, Mosel Gold",$8.63
12,Gelatine Leaves - Bulk,$6.38
13,Langers - Mango Nectar,$2.67
14,Bagelers - Cinn / Brown Sugar,$0.66
15,Nori Sea Weed - Gold Label,$2.25
16,"Cake Circle, Foil, Scallop",$5.67
17,Vinegar - Balsamic,$6.52
18,Tomatillo,$7.91
19,"Schnappes - Peach, Walkers",$3.08
20,Egg - Salad Premix,$0.39
21,"Bread - Multigrain, Loaf",$6.71
22,Scallops - Live In Shell,$6.80
23,Wine - Gewurztraminer Pierre,$9.21
24,Cheese - Grie Des Champ,$5.51
25,Oil - Olive,$4.23
26,Soap - Mr.clean Floor Soap,$5.81
27,Pasta - Orecchiette,$4.65
28,Cream - 18%,$5.42
29,"Water - Mineral, Carbonated",$5.40
30,"Chocolate - Pistoles, White",$7.90
31,Cafe Royale,$3.42
32,Vinegar - Raspberry,$6.92
33,"Chicken - Leg, Boneless",$8.55
34,French Kiss Vanilla,$3.94
35,Rice - Aborio,$8.41
36,Soup Campbells Mexicali Tortilla,$5.02
37,French Pastries,$8.01
38,Pastry - Trippleberry Muffin - Mini,$7.49
39,Cheese - Bakers Cream Cheese,$9.89
40,Beer - Blue Light,$5.74
41,Watercress,$0.46
42,Crab Brie In Phyllo,$1.65
43,Spice - Greek 1 Step,$1.69
44,Ostrich - Prime Cut,$7.16
45,"Pork - Sausage, Medium",$9.96
46,Soup - Verve - Chipotle Chicken,$0.85
47,Crab - Soft Shell,$8.16
48,Parsley - Dried,$3.58
49,Chocolate - Mi - Amere Semi,$0.59
50,Chicken Breast Wing On,$9.05
51,Beef - Inside Round,$3.38
52,Dry Ice,$8.40
53,Slt - Individual Portions,$8.63
54,Pepper - Chili Powder,$3.35
55,Grenadine,$1.71
56,Cloves - Ground,$8.11
57,Water - Aquafina Vitamin,$0.52
58,Wine - Stoneliegh Sauvignon,$5.91
59,Bar Bran Honey Nut,$5.79
60,Egg Patty Fried,$8.93
61,Pastry - French Mini Assorted,$9.66
62,Clementine,$5.40
63,Salmon - Sockeye Raw,$2.50
64,Bread - Raisin Walnut Oval,$2.00
65,Propel Sport Drink,$4.10
66,Cake - Mini Cheesecake,$8.39
67,Chips Potato Swt Chilli Sour,$1.89
68,Wine - Charddonnay Errazuriz,$9.12
69,Mushroom - Portebello,$5.20
