id,job,hourlyPrice,hours
1,Human Resources Assistant II,$7.20,36
2,Professor,$3.51,44
3,Human Resources Assistant IV,$5.29,54
4,VP Quality Control,$6.77,61
5,Compensation Analyst,$9.17,36
6,Web Developer II,$5.41,12
7,Account Representative III,$2.97,23
8,Assistant Professor,$5.82,6
9,Paralegal,$1.28,15
10,Operator,$6.15,78
11,Staff Scientist,$3.03,6
12,Social Worker,$3.66,78
13,Office Assistant III,$2.55,52
14,Safety Technician IV,$8.33,31
15,VP Marketing,$7.80,55
16,Recruiting Manager,$3.90,66
17,Clinical Specialist,$1.95,59
18,Safety Technician II,$3.12,18
19,Project Manager,$3.95,93
20,VP Sales,$2.32,2
21,Senior Financial Analyst,$1.95,40
22,Assistant Media Planner,$4.63,59
23,Safety Technician II,$3.71,55
24,Statistician II,$6.03,98
25,Nurse Practicioner,$8.05,33
26,General Manager,$6.13,49
27,Director of Sales,$0.15,31
28,Speech Pathologist,$5.30,100
29,Teacher,$3.74,82
30,Cost Accountant,$6.03,32
31,Staff Scientist,$8.83,71
32,Junior Executive,$2.87,62
33,Information Systems Manager,$6.16,25
34,Office Assistant I,$8.46,44
35,Tax Accountant,$4.02,74
36,Research Assistant I,$3.45,82
37,Clinical Specialist,$8.41,73
38,Analyst Programmer,$1.31,50
39,Accounting Assistant I,$5.26,79
40,Senior Sales Associate,$8.34,43
41,Legal Assistant,$8.80,20
42,Electrical Engineer,$0.54,63
43,Civil Engineer,$7.73,27
44,Dental Hygienist,$6.45,88
45,Pharmacist,$8.90,69
46,Biostatistician II,$9.66,81
47,Account Representative I,$8.31,71
48,VP Accounting,$6.77,32
49,Human Resources Manager,$3.73,53
50,Speech Pathologist,$6.50,67
51,Research Nurse,$0.90,56
52,Assistant Media Planner,$3.55,4
53,Senior Sales Associate,$0.66,89
54,Information Systems Manager,$5.07,7
55,Nurse Practicioner,$6.77,79
56,Research Nurse,$3.82,23
57,Executive Secretary,$1.15,39
58,Geologist II,$8.27,79
59,Executive Secretary,$8.47,2
60,Geological Engineer,$1.87,26
61,Assistant Manager,$4.59,63
62,Help Desk Technician,$2.96,68
63,Environmental Specialist,$9.39,82
64,Office Assistant IV,$9.33,13
65,Financial Analyst,$8.22,39
66,Geological Engineer,$5.14,95
67,Programmer Analyst II,$1.37,1
68,Dental Hygienist,$9.19,78
69,VP Product Management,$2.39,40
70,Nurse Practicioner,$4.06,9
71,Programmer III,$1.05,19
72,Administrative Officer,$4.43,4
73,Senior Developer,$6.38,7
74,Programmer IV,$6.74,29
75,Software Engineer II,$9.14,84
76,Geological Engineer,$8.11,94
77,Staff Scientist,$3.50,33
78,Graphic Designer,$9.21,37
79,Tax Accountant,$0.75,51
80,Senior Financial Analyst,$9.03,59
81,Graphic Designer,$4.19,9
82,Editor,$4.99,65
83,Community Outreach Specialist,$1.30,39
84,Research Assistant IV,$8.97,46
85,Information Systems Manager,$8.59,46
86,Geological Engineer,$0.49,55
87,Tax Accountant,$7.37,99
88,Analog Circuit Design manager,$6.10,25
89,Administrative Officer,$1.59,96
90,Engineer III,$1.49,51
91,Paralegal,$7.31,7
92,Marketing Manager,$1.10,12
93,Research Assistant I,$4.72,29
94,General Manager,$3.49,96
95,Systems Administrator II,$0.86,28
96,Junior Executive,$4.83,56
97,Systems Administrator I,$5.71,62
98,Assistant Media Planner,$0.52,34
99,Geologist IV,$1.99,28
100,Technical Writer,$5.05,96
101,General Manager,$1.40,81
102,Cost Accountant,$8.59,77
103,Assistant Manager,$3.75,72
104,Financial Analyst,$7.21,61
